apple,táo
abstract,trừu tượng
achieve,đạt được
adhere,tuân thủ
adjourn,hoãn lại
admissible,được chấp nhận
admonish,quở trách
advantage,lợi thế
adverse,bất lợi
advocate,ủng hộ
affluent,giàu có
aggravate,làm trầm trọng thêm
aggression,sự hung hăng
ambiguous,mơ hồ
amend,sửa đổi
analogy,sự tương tự
analyze,phân tích
anarchy,tình trạng vô chính phủ
anomaly,sự bất thường
antithesis,sự đối lập
anxious,lo lắng
apathy,sự thờ ơ
appetite,sự thèm ăn
application,ứng dụng
apprehend,bắt giữ
apprehensive,lo lắng
appropriate,thích hợp
aptitude,năng khiếu
arbitrary,tùy tiện
argument,lập luận
articulate,rõ ràng
ascertain,xác định
ascetic,khổ hạnh
assess,đánh giá
assiduous,cần cù
assuage,làm dịu
assume,giả sử
authentic,xác thực
autonomous,tự trị
aver,khẳng định
average,trung bình
aversion,sự ghê tởm
avid,đam mê
baffle,làm cho bối rối
banana,chuối
bane,tai họa
beautiful,đẹp
benefit,lợi ích
benevolent,nhân hậu
bicker,cãi vã
big,lớn
bleak,ảm đạm
bloated,phình to
blunt,thẳng thắn
bolster,củng cố
bonanza,sự giàu có
bothersome,phiền phức
boy,cậu bé
boycott,tẩy chay
brawny,vạm vỡ
brazen,trơ tráo
breach,sự vi phạm
brevity,tính ngắn gọn
burgeoning,đang phát triển
calculate,tính toán
car,ô tô
cat,mèo
catastrophe,thảm họa
cautious,thận trọng
cease,ngừng
censure,chỉ trích
chagrin,sự thất vọng
challenge,thách thức
challenging,đầy thử thách
chaotic,hỗn loạn
charity,lòng thương xót
chaste,trong trắng
chauvinist,người theo chủ nghĩa sô vanh
chubby,mập mạp
circumspect,thận trọng
circumvent,lách
city,thành phố
clandestine,bí mật
classify,phân loại
claustrophobic,sợ không gian chật hẹp
cleave,dính chặt
clement,nhân từ
clog,làm tắc nghẽn
coarse,thô lỗ
cogent,thuyết phục
collusion,sự thông đồng
commend,khen ngợi
commiserate,thông cảm
commodity,hàng hóa
commotion,sự náo động
commute,đi lại
compact,nhỏ gọn
compare,so sánh
compel,bắt buộc
complacent,tự mãn
conclude,kết luận
conclusion,kết luận
conjecture,phỏng đoán
consider,xem xét
contrast,đối chiếu
criticize,phê bình
data,dữ liệu
